회차,1,2,3,4,5,6,보너스,당첨금액
666,2,4,6,11,17,28,16,2396901063
665,5,6,11,17,38,44,13,3643230375
664,10,20,33,36,41,44,5,1536801338
663,3,5,8,19,38,42,20,2080244143
662,5,6,9,11,15,37,26,1689733688
661,2,3,12,20,27,38,40,1713025547
660,4,9,23,33,39,44,14,1421272575
659,7,18,19,27,29,42,45,1336604216
658,8,19,25,28,32,36,37,1634031375
657,10,14,19,39,40,43,23,1694762792
656,3,7,14,16,31,40,39,7330002750
655,7,37,38,39,40,44,18,1661439625
654,16,21,26,31,36,43,6,1879301391
653,5,6,26,27,38,39,1,980958670
652,3,13,15,40,41,44,20,3003483525
651,11,12,16,26,29,44,18,1855306454
650,3,4,7,11,31,41,35,2849298900
649,3,21,22,33,41,42,20,2948042100
648,13,19,28,37,38,43,4,2120987947
647,5,16,21,23,24,30,29,2189725608
646,2,9,24,41,43,45,30,2215498393
645,1,4,16,26,40,41,31,3696297750
644,5,13,17,23,28,36,8,1831451204
643,15,24,31,32,33,40,13,2535763625
642,8,17,18,24,39,45,32,1251460438
641,11,18,21,36,37,43,12,1990074563
640,14,15,18,21,26,35,23,1728768834
639,6,15,22,23,25,32,40,4061185219
638,7,18,22,24,31,34,6,2229403179
637,3,16,22,37,38,44,23,3899241094
636,6,7,15,16,20,31,26,1832362219
635,11,13,25,26,29,33,32,1855587235
634,4,10,11,12,20,27,38,1077935106
633,9,12,19,20,39,41,13,1217257094
632,15,18,21,32,35,44,6,1432587716
631,1,2,4,23,31,34,8,3919853532
630,8,17,21,24,27,31,15,4836305500
629,19,28,31,38,43,44,1,2919433575
628,1,7,12,15,23,42,11,1499942875
627,2,9,22,25,31,45,12,1352230650
626,13,14,26,33,40,43,15,1717871110
625,3,6,7,20,21,39,13,2765184675
624,1,7,19,26,27,35,16,2763729450
623,7,13,30,39,41,45,25,1813702594
622,9,15,16,21,28,34,24,1630598292
621,1,2,6,16,19,42,9,2359723500
620,2,16,17,32,39,45,40,2028283233
619,6,8,13,30,35,40,21,4612479375
618,8,16,25,30,42,43,15,2881326225
617,4,5,11,12,24,27,28,1629701860
616,5,13,18,23,40,45,3,1611811250
615,10,17,18,19,23,27,35,1535062417
614,8,21,25,39,40,44,18,2540975438
613,7,8,11,16,41,44,35,1549831209
612,6,9,18,19,25,33,40,1181705250
611,2,22,27,33,36,37,14,3502706157
610,14,18,20,23,28,36,33,3516018375
609,4,8,27,34,39,40,13,6339311438
608,4,8,18,19,39,44,41,1943530018
607,8,14,23,36,38,39,13,3494480907
606,1,5,6,14,20,39,22,1311566850
605,1,2,7,9,10,38,42,1394232250
604,2,6,18,21,33,34,30,1229141557
603,2,19,25,26,27,43,28,3452136563
602,13,14,22,27,30,38,2,1689530860
601,2,16,19,31,34,35,37,1524565209
600,5,11,14,27,29,36,44,901798725
599,5,12,17,29,34,35,27,1710918329
598,4,12,24,33,38,45,22,833998594
597,8,10,23,24,35,43,37,1057920606
596,3,4,12,14,25,43,17,1328267663
595,8,24,28,35,38,40,5,1744525219
594,2,8,13,25,28,37,3,1255592796
593,9,10,13,24,33,38,28,1532833500
592,2,5,6,13,28,44,43,2356381688
591,8,13,14,30,38,39,5,2964676200
590,20,30,36,38,41,45,23,2185183983
589,6,8,28,33,38,39,22,2136877983
588,2,8,15,22,25,41,30,2889342075
587,14,21,29,31,32,37,17,4974577375
586,2,7,12,15,21,34,5,1778354344
585,6,7,10,16,38,41,4,1620546334
584,7,18,30,39,40,41,36,5033183250
583,8,17,27,33,40,44,24,1341848353
582,2,12,14,33,40,41,25,3560558719
581,3,5,14,20,42,44,33,1844554547
580,5,7,9,11,32,35,33,2028610500
579,5,7,20,22,37,42,39,1396068444
578,5,12,14,32,34,42,16,2796466575
577,16,17,22,31,34,37,33,4484438375
576,10,11,15,25,35,41,13,4321966000
575,2,8,20,30,33,34,6,1699267875
574,14,15,16,19,25,43,2,6965184938
573,2,4,20,34,35,43,14,1645691766
572,3,13,18,33,37,45,1,1668216188
571,11,18,21,26,38,43,29,1966538465
570,1,12,26,27,29,33,42,1527791625
569,3,6,13,23,24,35,1,3467925188
568,1,3,17,20,31,44,40,1305167550
567,1,10,15,16,32,41,28,2318659438
566,4,5,6,25,26,43,41,3508951032
565,4,10,18,27,40,45,38,1742064469
564,14,19,25,26,27,34,2,1934801143
563,5,10,16,17,31,32,21,1932735643
562,4,11,13,17,20,31,33,1166694614
561,5,7,18,37,42,45,20,2753712225
560,1,4,20,23,29,45,28,1976697215
559,11,12,25,32,44,45,23,1926145608
558,12,15,19,26,40,43,29,1315913663
557,4,20,26,28,35,40,31,1888069286
556,12,20,23,28,30,44,43,2005209161
555,11,17,21,24,26,36,12,1711027360
554,13,14,17,32,41,42,6,6813893625
553,2,7,17,28,29,39,37,2249631438
552,1,10,20,32,35,40,43,1330824225
551,3,6,20,24,27,44,25,13526973750
550,1,7,14,20,34,37,41,1118679205
549,29,31,35,38,40,44,17,1760805047
548,1,12,13,21,32,45,14,1736871891
547,6,7,15,22,34,39,28,2838444450
546,8,17,20,27,37,43,6,405939950
545,4,24,25,27,34,35,2,1198994353
544,5,17,21,25,36,44,10,1046388433
543,13,18,26,31,34,44,12,1112934844
542,5,6,19,26,41,45,34,2335152563
541,8,13,26,28,32,34,43,1269327171
540,3,12,13,15,34,36,14,1989365250
539,3,19,22,31,42,43,26,1621036667
538,6,10,18,31,32,34,11,4688021625
537,12,23,26,30,36,43,11,2104038911
536,7,8,18,32,37,43,12,1308523603
535,11,12,14,15,18,39,34,4935603000
534,10,24,26,29,37,38,32,14215763250
533,9,14,15,17,31,33,23,1785671579
532,16,17,23,24,29,44,3,2216896286
531,1,5,9,21,27,35,45,1521519750
530,16,23,27,29,33,41,22,1231656239
529,18,20,24,27,31,42,39,1749114797
528,5,17,25,31,39,40,10,1197889125
527,1,12,22,32,33,42,38,1032386366
526,7,14,17,20,35,39,31,1491031959
525,11,23,26,29,39,44,22,1501132375
524,10,11,29,38,41,45,21,3491695594
